2022-02-02 01:48:18, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-02-02 01:48:22, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-02-02 01:59:58, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-02-02 02:18:10, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-02-02 02:18:14, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-02-02 02:35:02, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-02-02 02:35:08, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-02-02 02:37:40, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-02-02 02:37:57, Lasting QC, shoes, 918, 517, -99.65989307844234
2022-02-02 02:38:31, Lasting QC, shoes, 958, 539, -109.6538240580533
2022-02-02 02:38:42, Lasting QC, shoes, 442, 535, -71.56505117707799
2022-02-02 02:39:04, Lasting QC, shoes, 911, 538, -113.19859051364818
2022-02-02 02:39:23, Lasting QC, shoes, 910, 540, 153.434948822922
2022-02-02 16:27:19, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-02-02 16:27:22, Lasting QC, shoes, 547, 532, -87.51044707800085
2022-02-02 16:29:30, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-02-02 16:29:50, Lasting QC, shoes, 918, 517, -99.65989307844234
2022-02-02 16:37:13, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-02-02 16:37:16, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-02-02 16:39:22, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-02-02 16:39:43, Lasting QC, shoes, 918, 517, -99.65989307844234
2022-02-02 16:44:36, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-02-02 16:44:41, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-02-02 16:47:02, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-02-02 16:47:23, Lasting QC, shoes, 918, 517, -99.65989307844234
2022-02-02 16:48:05, Lasting QC, shoes, 932, 499, -123.36636600105957
2022-02-02 16:48:19, Lasting QC, shoes, 442, 535, -71.56505117707799
2022-02-02 16:48:47, Lasting QC, shoes, 911, 538, -113.19859051364818
2022-02-02 16:49:11, Lasting QC, shoes, 930, 538, -23.19859051364819
2022-02-02 16:53:15, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-02-02 16:53:19, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-02-02 16:55:36, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-02-02 16:55:56, Lasting QC, shoes, 918, 517, -99.65989307844234
2022-02-02 16:56:33, Lasting QC, shoes, 932, 499, -123.36636600105957
2022-02-02 16:56:46, Lasting QC, shoes, 442, 535, -71.56505117707799
2022-02-02 16:57:12, Lasting QC, shoes, 911, 538, -113.19859051364818
2022-02-02 16:57:40, Lasting QC, shoes, 930, 538, -23.19859051364819
2022-02-02 16:59:40, Lasting QC, shoes, 516, 513, -95.1944289077348
2022-02-02 17:02:56, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-02-02 17:02:59, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-02-02 17:05:17, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-02-02 17:05:42, Lasting QC, shoes, 918, 517, -99.65989307844234
2022-02-02 17:06:22, Lasting QC, shoes, 932, 499, -123.36636600105957
2022-02-02 17:06:35, Lasting QC, shoes, 442, 535, -71.56505117707799
2022-02-02 17:06:57, Lasting QC, shoes, 911, 538, -113.19859051364818
2022-02-02 17:07:20, Lasting QC, shoes, 930, 538, -23.19859051364819
2022-02-02 17:09:27, Lasting QC, shoes, 516, 513, -95.1944289077348
2022-02-02 17:11:15, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-02-02 17:11:18, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-02-02 17:13:28, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-02-02 17:13:48, Lasting QC, shoes, 917, 520, -100.53918372862823
2022-02-02 17:14:27, Lasting QC, shoes, 933, 500, -123.02386755579664
2022-02-02 17:14:41, Lasting QC, shoes, 442, 536, -63.43494882292201
2022-02-02 17:25:16, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-02-02 17:25:19, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-02-02 17:27:20, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-02-02 17:27:38, Lasting QC, shoes, 918, 517, -99.65989307844234
2022-02-02 17:28:14, Lasting QC, shoes, 932, 499, -123.36636600105957
2022-02-02 17:28:26, Lasting QC, shoes, 442, 535, -71.56505117707799
2022-02-02 17:28:49, Lasting QC, shoes, 911, 538, -113.19859051364818
2022-02-02 17:29:13, Lasting QC, shoes, 930, 538, -23.19859051364819
2022-02-02 17:42:15, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-02-02 17:42:18, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-02-02 17:44:18, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-02-02 17:44:37, Lasting QC, shoes, 918, 517, -99.65989307844234
2022-02-02 17:55:09, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-02-02 17:55:13, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-02-02 17:57:25, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-02-02 17:57:44, Lasting QC, shoes, 918, 517, -99.65989307844234
2022-02-02 17:58:22, Lasting QC, shoes, 932, 499, -123.36636600105957
2022-02-02 17:58:34, Lasting QC, shoes, 442, 535, -71.56505117707799
2022-02-02 17:58:59, Lasting QC, shoes, 911, 538, -113.19859051364818
2022-02-02 17:59:22, Lasting QC, shoes, 930, 538, -23.19859051364819
2022-02-02 18:16:13, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-02-02 18:16:16, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-02-02 18:18:26, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-02-02 18:18:47, Lasting QC, shoes, 917, 520, -100.53918372862823
2022-02-02 18:19:28, Lasting QC, shoes, 933, 500, -123.02386755579664
2022-02-02 18:19:41, Lasting QC, shoes, 442, 536, -63.43494882292201
2022-02-02 18:25:17, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-02-02 18:25:20, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-02-02 18:27:15, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-02-02 18:27:32, Lasting QC, shoes, 918, 517, -99.65989307844234
2022-02-02 18:28:17, Lasting QC, shoes, 442, 535, -71.56505117707799
2022-02-02 18:28:37, Lasting QC, shoes, 911, 538, -113.19859051364818
2022-02-02 18:28:56, Lasting QC, shoes, 930, 538, -23.19859051364819
2022-02-02 18:32:31, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-02-02 18:32:35, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-02-02 18:34:41, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-02-02 18:34:59, Lasting QC, shoes, 918, 517, -99.65989307844234
2022-02-02 18:44:06, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-02-02 18:44:09, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-02-02 18:46:17, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-02-02 18:46:36, Lasting QC, shoes, 918, 517, -99.65989307844234
2022-02-02 18:47:14, Lasting QC, shoes, 932, 499, -123.36636600105957
2022-02-02 18:47:26, Lasting QC, shoes, 442, 535, -71.56505117707799
2022-02-02 18:47:48, Lasting QC, shoes, 911, 538, -113.19859051364818
2022-02-02 18:48:09, Lasting QC, shoes, 930, 538, -23.19859051364819
2022-02-02 18:49:58, Lasting QC, shoes, 516, 513, -95.1944289077348
2022-02-02 18:51:47, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-02-02 18:51:51, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-02-02 18:53:50, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-02-02 18:54:08, Lasting QC, shoes, 918, 517, -99.65989307844234
2022-02-02 18:54:45, Lasting QC, shoes, 932, 499, -123.36636600105957
2022-02-02 18:54:57, Lasting QC, shoes, 442, 535, -71.56505117707799
2022-02-02 18:59:35, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-02-02 18:59:39, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-02-02 19:01:41, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-02-02 19:01:59, Lasting QC, shoes, 918, 517, -99.65989307844234
2022-02-02 19:02:35, Lasting QC, shoes, 932, 499, -123.36636600105957
2022-02-02 19:02:46, Lasting QC, shoes, 442, 535, -71.56505117707799
2022-02-02 19:03:08, Lasting QC, shoes, 911, 538, -113.19859051364818
2022-02-02 19:03:27, Lasting QC, shoes, 930, 538, -23.19859051364819
