2022-01-20 17:23:10, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-01-20 17:23:13, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-01-20 17:25:19, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-01-20 17:25:39.999001, Lasting QC, shoes, 917, 520, -100.53918372862823
2022-01-20 17:26:20, Lasting QC, shoes, 933, 500, -123.02386755579664
2022-01-20 17:26:33, Lasting QC, shoes, 442, 536, -63.43494882292201
2022-01-20 17:26:55, Lasting QC, shoes, 911, 538, -113.19859051364818
2022-01-20 17:27:17, Lasting QC, shoes, 911, 540, 135.0
2022-01-20 17:29:18, Lasting QC, shoes, 516, 511, -97.1250163489018
