2022-01-26 11:03:28, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-01-26 11:03:32, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-01-26 11:05:59, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-01-26 11:06:23, Lasting QC, shoes, 917, 520, -100.53918372862823
2022-01-26 11:07:11, Lasting QC, shoes, 933, 500, -123.02386755579664
2022-01-26 11:07:27, Lasting QC, shoes, 442, 536, -63.43494882292201
2022-01-26 11:07:56, Lasting QC, shoes, 911, 538, -113.19859051364818
2022-01-26 11:08:22.998990, Lasting QC, shoes, 911, 540, 135.0
2022-01-26 11:09:36, Lasting QC, shoes, 926, 80, -64.98310652189998
