2022-01-25 14:05:00, Lasting QC, 1
2022-01-25 14:10:00, Lasting QC, 2
2022-01-25 14:10:00, Lasting QC, 1
2022-01-25 14:10:00, Lasting QC, 1
2022-01-25 14:15:00, Lasting QC, 3
2022-01-25 14:15:00, Lasting QC, 3
2022-01-25 14:15:00, Lasting QC, 1
2022-01-25 14:15:00, Lasting QC, 1
2022-01-25 14:35:00, Lasting QC, 1
2022-01-25 14:40:00, Lasting QC, 3
2022-01-25 14:40:00, Lasting QC, 1
2022-01-25 14:45:00, Lasting QC, 2
2022-01-25 14:55:00, Lasting QC, 2
2022-01-25 15:15:00, Lasting QC, 2
2022-01-25 15:20:00, Lasting QC, 1
2022-01-25 15:30:00, Lasting QC, 2
