2022-02-02 01:05:25, Lasting QC, 0, 0, 0
2022-02-02 01:40:00, Lasting QC, 0, 0, 0
2022-02-02 01:40:55, Lasting QC, 0, 0, 0
2022-02-02 01:50:00, Lasting QC, 2, 0, 2
2022-02-02 01:55:00, Lasting QC, 0, 0, 0
2022-02-02 02:00:00, Lasting QC, 1, 0, 1
2022-02-02 02:05:04, Lasting QC, 0, 0, 0
2022-02-02 02:05:59, Lasting QC, 0, 0, 0
2022-02-02 02:15:06, Lasting QC, 0, 0, 0
2022-02-02 02:20:00, Lasting QC, 2, 0, 2
2022-02-02 02:30:55, Lasting QC, 0, 0, 0
2022-02-02 02:35:00, Lasting QC, 0, 0, 0
2022-02-02 02:35:00, Lasting QC, 0, 0, 0
2022-02-02 02:40:00, Lasting QC, 8, 1, 7
2022-02-02 16:30:00, Lasting QC, 4, 0, 4
2022-02-02 16:40:00, Lasting QC, 4, 0, 4
2022-02-02 16:45:00, Lasting QC, 2, 0, 2
2022-02-02 16:50:00, Lasting QC, 8, 0, 8
2022-02-02 16:55:00, Lasting QC, 2, 0, 2
2022-02-02 17:00:00, Lasting QC, 9, 0, 9
2022-02-02 17:00:00, Lasting QC, 9, 0, 9
2022-02-02 17:05:00, Lasting QC, 2, 0, 2
2022-02-02 17:10:00, Lasting QC, 9, 0, 9
2022-02-02 17:15:00, Lasting QC, 6, 0, 6
2022-02-02 17:25:07, Lasting QC, 0, 0, 0
2022-02-02 17:30:00, Lasting QC, 8, 0, 8
2022-02-02 17:45:00, Lasting QC, 4, 0, 4
2022-02-02 17:55:00, Lasting QC, 0, 0, 0
2022-02-02 18:00:00, Lasting QC, 8, 0, 8
2022-02-02 18:00:00, Lasting QC, 8, 0, 8
2022-02-02 18:20:00, Lasting QC, 6, 0, 6
2022-02-02 18:25:09, Lasting QC, 0, 0, 0
2022-02-02 18:30:00, Lasting QC, 7, 0, 7
2022-02-02 18:35:00, Lasting QC, 4, 0, 4
2022-02-02 18:45:00, Lasting QC, 2, 0, 2
2022-02-02 18:50:00, Lasting QC, 9, 0, 9
2022-02-02 18:55:00, Lasting QC, 6, 0, 6
2022-02-02 19:00:00, Lasting QC, 2, 0, 2
2022-02-02 19:05:00, Lasting QC, 8, 0, 8
