2022-02-02 01:50:00, Lasting QC, 1
2022-02-02 02:20:00, Lasting QC, 1
2022-02-02 02:40:00, Lasting QC, 3
2022-02-02 16:30:00, Lasting QC, 2
2022-02-02 16:40:00, Lasting QC, 2
2022-02-02 16:45:00, Lasting QC, 1
2022-02-02 16:50:00, Lasting QC, 3
2022-02-02 16:55:00, Lasting QC, 1
2022-02-02 17:00:00, Lasting QC, 4
2022-02-02 17:00:00, Lasting QC, 4
2022-02-02 17:05:00, Lasting QC, 1
2022-02-02 17:10:00, Lasting QC, 4
2022-02-02 17:15:00, Lasting QC, 3
2022-02-02 17:30:00, Lasting QC, 3
2022-02-02 17:45:00, Lasting QC, 2
2022-02-02 18:00:00, Lasting QC, 3
2022-02-02 18:00:00, Lasting QC, 3
2022-02-02 18:20:00, Lasting QC, 3
2022-02-02 18:30:00, Lasting QC, 3
2022-02-02 18:35:00, Lasting QC, 2
2022-02-02 18:45:00, Lasting QC, 1
2022-02-02 18:50:00, Lasting QC, 4
2022-02-02 18:55:00, Lasting QC, 3
2022-02-02 19:00:00, Lasting QC, 1
2022-02-02 19:05:00, Lasting QC, 3
