2022-01-25 14:05:00, Lasting QC, 2, 0, 2
2022-01-25 14:10:00, Lasting QC, 5, 0, 5
2022-01-25 14:10:00, Lasting QC, 2, 0, 2
2022-01-25 14:10:00, Lasting QC, 2, 0, 2
2022-01-25 14:15:00, Lasting QC, 8, 1, 7
2022-01-25 14:15:00, Lasting QC, 6, 0, 6
2022-01-25 14:15:00, Lasting QC, 2, 0, 2
2022-01-25 14:15:00, Lasting QC, 4, 1, 3
2022-01-25 14:25:00, Lasting QC, 2, 0, 2
2022-01-25 14:35:00, Lasting QC, 2, 0, 2
2022-01-25 14:40:00, Lasting QC, 8, 1, 7
2022-01-25 14:40:00, Lasting QC, 1, 0, 1
2022-01-25 14:45:00, Lasting QC, 2, 0, 2
2022-01-25 14:55:00, Lasting QC, 2, 0, 2
2022-01-25 15:10:42, Lasting QC, 0, 0, 0
2022-01-25 15:15:00, Lasting QC, 3, 0, 3
2022-01-25 15:20:00, Lasting QC, 1, 0, 1
2022-01-25 15:30:00, Lasting QC, 2, 0, 2
