2022-01-25 14:04:35, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-01-25 14:04:39, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-01-25 14:07:49, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-01-25 14:08:26, Lasting QC, shoes, 917, 520, -100.53918372862823
2022-01-25 14:09:46, Lasting QC, shoes, 933, 500, -123.02386755579664
2022-01-25 14:09:35, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-01-25 14:09:42, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-01-25 14:06:51, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-01-25 14:06:57, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-01-25 14:10:21, Lasting QC, shoes, 442, 536, -63.43494882292201
2022-01-25 14:11:20, Lasting QC, shoes, 911, 538, -113.19859051364818
2022-01-25 14:12:23, Lasting QC, shoes, 911, 540, 135.0
2022-01-25 14:11:15, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-01-25 14:12:07, Lasting QC, shoes, 917, 520, -100.53918372862823
2022-01-25 14:13:51, Lasting QC, shoes, 933, 500, -123.02386755579664
2022-01-25 14:14:49, Lasting QC, shoes, 442, 536, -63.43494882292201
2022-01-25 14:14:36, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-01-25 14:14:50, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-01-25 14:11:21, Lasting QC, shoes, 815, 243, 90.0
2022-01-25 14:11:31, Lasting QC, shoes, 881, 238, -71.56505117707799
2022-01-25 14:23:53, Lasting QC, shoes, 763, 348, -95.35582504285519
2022-01-25 14:24:20, Lasting QC, shoes, 831, 802, -84.28940686250037
2022-01-25 14:32:21, Lasting QC, shoes, 901, 539, -114.77514056883193
2022-01-25 14:32:25, Lasting QC, shoes, 550, 529, -101.88865803962798
2022-01-25 14:35:00, Lasting QC, shoes, 529, 512, -87.95459151111278
2022-01-25 14:35:26, Lasting QC, shoes, 917, 520, -100.53918372862823
2022-01-25 14:36:16, Lasting QC, shoes, 933, 500, -123.02386755579664
2022-01-25 14:36:33, Lasting QC, shoes, 442, 536, -63.43494882292201
2022-01-25 14:37:04, Lasting QC, shoes, 911, 538, -113.19859051364818
2022-01-25 14:37:48, Lasting QC, shoes, 911, 540, 135.0
2022-01-25 14:37:54, Lasting QC, shoes, 776, 766, -94.96974072811031
2022-01-25 14:40:19, Lasting QC, shoes, 831, 802, -84.28940686250037
2022-01-25 14:51:44, Lasting QC, shoes, 776, 766, -94.96974072811031
2022-01-25 14:53:00, Lasting QC, shoes, 831, 802, -84.28940686250037
2022-01-25 15:10:57, Lasting QC, shoes, 776, 766, -94.96974072811031
2022-01-25 15:12:06, Lasting QC, shoes, 831, 802, -84.28940686250037
2022-01-25 15:14:25, Lasting QC, shoes, 1447, 804, -108.43494882292202
2022-01-25 15:19:48, Lasting QC, shoes, 776, 766, -94.96974072811031
2022-01-25 15:28:01, Lasting QC, shoes, 775, 749, -93.3664606634298
2022-01-25 15:29:04, Lasting QC, shoes, 832, 752, -90.0
