2021-12-31 08:02:58, Lasting QC, shoes, 901, 539, -114.77514056883193
2021-12-31 08:03:07, Lasting QC, shoes, 550, 529, -101.88865803962798
2021-12-31 08:07:25, Lasting QC, shoes, 901, 539, -114.77514056883193
2021-12-31 08:07:42, Lasting QC, shoes, 550, 529, -101.88865803962798
2021-12-31 08:11:17.999003, Lasting QC, shoes, 529, 512, -87.95459151111278
2021-12-31 08:12:55, Lasting QC, shoes, 917, 520, -100.53918372862823
2021-12-31 08:15:16, Lasting QC, shoes, 529, 512, -87.95459151111278
2021-12-31 08:16:07, Lasting QC, shoes, 917, 520, -100.53918372862823
2021-12-31 08:17:20, Lasting QC, shoes, 933, 500, -123.02386755579664
2021-12-31 08:17:45, Lasting QC, shoes, 442, 536, -63.43494882292201
2021-12-31 08:18:29, Lasting QC, shoes, 911, 538, -113.19859051364818
2021-12-31 08:19:13, Lasting QC, shoes, 911, 540, 135.0
2021-12-31 08:15:18, Lasting QC, shoes, 933, 500, -123.02386755579664
2021-12-31 08:15:57, Lasting QC, shoes, 442, 536, -63.43494882292201
2021-12-31 08:16:44, Lasting QC, shoes, 911, 538, -113.19859051364818
2021-12-31 08:17:28, Lasting QC, shoes, 911, 540, 135.0
